,longitude,latitude,ssrd,t2mmin,vpd,sSWC,FPAR,GPP,GPP_constant-Tmin,GPP_constant-SWrad,GPP_constant-VPD,GPP_constant-FPAR,GPP_constant-SWC
1982-04-26,13.125,49.375,10.137974,1.1375122,876.71747,0.32062265,0.37666667,0.7752924340439459,1.5719635726762893,1.1471114949258292,0.8907311972012247,1.0291492396233863,0.7752924340439459
1982-04-27,13.125,49.375,19.098963,0.4878235,938.3145,0.33666024,0.38,1.3009589434032929,2.86681124593057,1.0217509794144002,1.5576615701667775,1.7117880834253851,1.3009589434032929
1982-04-28,13.125,49.375,14.29592,-0.7816162,867.4509,0.33024994,0.38333333,0.8554318339486322,2.269651987128236,0.8975622072052364,0.9768548977373898,1.1157806626789173,0.8554318339486322
1982-04-29,13.125,49.375,11.512451,2.386444,684.6583,0.34485513,0.38666666,1.1740061812164944,2.0636424349033122,1.5296562581024156,1.1977210581682252,1.5181114674025609,1.1740061812164944
1982-04-30,13.125,49.375,20.425798,0.93969727,755.0417,0.36603233,0.39,1.70416774756606,3.541495734759061,1.2514818864600004,1.8129444123043192,2.184830445597513,1.70416774756606
1982-05-01,13.125,49.375,4.746242,1.3231201,325.3354,0.36106637,0.3893333,0.4408204531853605,0.8739501450938948,1.39316680392201,0.4408204531853605,0.56612220581358,0.4408204531853605
1982-05-02,13.125,49.375,17.344099,0.041870117,851.2578,0.368124,0.38866666,1.2042369351558895,2.8215485828394784,1.0414812569588272,1.360719700741118,1.5491899088487409,1.2042369351558895
1982-05-03,13.125,49.375,19.731306,0.20025635,1345.6083,0.35100424,0.38799998,0.952016680880336,2.181523100092429,0.7237356824330351,1.5801106736603088,1.2268256829295918,0.952016680880336
1982-05-04,13.125,49.375,22.367992,5.3221436,1691.7518,0.33603594,0.38733333,1.2384104607620858,1.65828931542861,0.8304794150244372,3.060070325579654,1.59863658100645,1.2384104607620858
1982-05-05,13.125,49.375,22.685677,6.6228943,1490.4291,0.3341191,0.38666666,1.7803675113368584,2.156452896483598,1.1771970777002987,3.425101022194802,2.3021994078011,1.7803675113368584
1982-05-06,13.125,49.375,6.3841066,5.9699097,831.82324,0.36398554,0.38599998,0.8209882011692156,1.0443813779025766,1.9289814204446762,0.9161792223738596,1.0634562742324694,0.8209882011692156
1982-05-07,13.125,49.375,20.177341,1.7903748,879.11884,0.373701,0.38533333,1.7024257744739437,3.1958433911656545,1.265597217051997,1.9588376187710779,2.209030003288249,1.7024257744739437
1982-05-08,13.125,49.375,20.574383,0.4933777,1216.0834,0.35131136,0.38466665,1.1498624399457162,2.5321789032057174,0.8383209644335746,1.699722749365434,1.4946219537692131,1.1498624399457162
1982-05-09,13.125,49.375,7.6172185,4.5537415,836.8514,0.34354275,0.384,0.8651943775348419,1.235638928213142,1.7037604557388801,0.9686457428737595,1.1265551790818253,0.8651943775348419
1982-05-10,13.125,49.375,15.635641,4.946472,1146.7893,0.34486136,0.38333333,1.4696697048322522,2.02993053153626,1.4099227254248026,2.0523246820726886,1.916960501233029,1.4696697048322522
1982-05-11,13.125,49.375,14.4713,3.6740417,940.80536,0.35344476,0.38266665,1.4126755641850333,2.1837618862034835,1.4642867926707,1.6942618903634366,1.8458305214016342,1.4126755641850333
1982-05-12,13.125,49.375,17.618464,0.9506836,1151.2261,0.34369448,0.382,1.0946074603412443,2.271441088070646,0.9319264099934401,1.5339230105678872,1.4327322779335658,1.0946074603412443
1982-05-13,13.125,49.375,24.35598,3.112152,1528.6051,0.32961628,0.38133332,1.340470746689934,2.1870953608907393,0.8255492573219804,2.6922489389233455,1.7576103062406583,1.340470746689934
1982-05-14,13.125,49.375,25.798002,4.9015503,1714.9412,0.31632614,0.38066667,1.3115771849892328,1.8183518438780433,0.7626039324610678,3.3501332949916547,1.7227370930442016,1.3115771849892328
1982-05-15,13.125,49.375,25.540716,6.4712524,1887.5586,0.3032598,0.38,1.0972509431470125,1.344011444325101,0.6444127935648001,3.7474417457206712,1.443751240982911,1.0972509431470125
1982-05-16,13.125,49.375,26.066038,8.345703,2176.101,0.29117,0.389375,0.5709680553141112,0.6139441454990443,0.32857010450578134,4.464175569305013,0.7331853037741396,0.5709680553141112
1982-05-17,13.125,49.375,22.040901,10.16391,2152.6416,0.28089795,0.39875,0.5873370959926351,0.5873370959926351,0.39971398809375,4.156667346020064,0.7364728476396677,0.5873370959926351
1982-05-18,13.125,49.375,22.038366,11.672058,2073.874,0.2739025,0.40812498,0.7929279131874654,0.7929279131874654,0.5396914951776361,4.253905113666659,0.9714278126120403,0.7929279131874654
1982-05-19,13.125,49.375,19.432974,11.864624,1773.1451,0.27335647,0.4175,1.3744741004834355,1.3744741004834355,1.0609344461249999,3.837169459752751,1.6460767670460303,1.3744741004834355
1982-05-20,13.125,49.375,19.24575,9.789215,1739.4131,0.27882397,0.426875,1.4667893461562695,1.4667893461562695,1.143205133203125,3.8855346918046876,1.718054871046875,1.4667893461562695
1982-05-21,13.125,49.375,18.021938,11.3203125,1388.0212,0.31377333,0.43624997,2.150331037447083,2.150331037447083,1.789761210015607,3.718365964805608,2.464562963118466,2.150331037447083
1982-05-22,13.125,49.375,15.162953,10.477661,1510.6833,0.32241872,0.44562498,1.624064252087505,1.624064252087505,1.606610782300293,3.1957187172127215,1.8222320616850352,1.624064252087505
1982-05-23,13.125,49.375,19.26691,11.422424,1533.7458,0.32236385,0.45499998,2.0523143179448904,2.0523143179448904,1.597802386016925,4.146089531201799,2.2552905584137504,2.0523143179448904
