,longitude,latitude,ssrd,t2mmin,vpd,sSWC,FPAR
1982-09-10,13.125,49.375,17.670973,10.337463,1873.9247,0.2853865,0.48333332
1982-09-11,13.125,49.375,17.336945,8.738525,2071.7253,0.2731846,0.48866665
1982-09-12,13.125,49.375,13.469425,13.01413,2283.2854,0.2619884,0.494
1982-09-13,13.125,49.375,12.285841,10.988739,2145.441,0.2554179,0.49933332
1982-09-14,13.125,49.375,16.046684,10.825134,2122.34,0.2496464,0.5046667
1982-09-15,13.125,49.375,16.960884,9.69754,2137.8477,0.23988925,0.51
1982-09-16,13.125,49.375,16.805935,9.427521,2284.4844,0.23136055,0.50333333
1982-09-17,13.125,49.375,16.643265,9.260162,2242.5798,0.2227649,0.49666667
1982-09-18,13.125,49.375,16.37166,8.423218,2052.66,0.21552843,0.48999998
1982-09-19,13.125,49.375,14.335137,10.852783,1991.8495,0.21556763,0.48333332
1982-09-20,13.125,49.375,14.771985,11.378326,2233.4543,0.21619233,0.47666666
1982-09-21,13.125,49.375,13.187645,14.451508,2008.8196,0.21275641,0.47
1982-09-22,13.125,49.375,8.45734,11.499786,789.65247,0.2504,0.46333334
1982-09-23,13.125,49.375,7.644828,8.697052,1008.82733,0.29654238,0.45666665
1982-09-24,13.125,49.375,12.662546,5.584564,1433.026,0.28204107,0.45
1982-09-25,13.125,49.375,14.363105,6.0398865,1729.2542,0.27261022,0.44333333
1982-09-26,13.125,49.375,14.3568535,9.431641,1936.9043,0.2665776,0.43666667
1982-09-27,13.125,49.375,7.69497,9.673309,1278.478,0.28818494,0.43
1982-09-28,13.125,49.375,11.794222,6.9839478,1460.6469,0.2783194,0.42333332
1982-09-29,13.125,49.375,12.80363,7.015564,1490.3564,0.27184075,0.41666666
1982-09-30,13.125,49.375,13.351314,7.323822,1539.5239,0.26545057,0.41
1982-10-01,13.125,49.375,7.7509584,11.799805,1199.4211,0.26743123,0.42
1982-10-02,13.125,49.375,3.4875708,11.946228,1038.6306,0.28217906,0.43
1982-10-03,13.125,49.375,13.060064,6.11203,1333.0677,0.2775018,0.44
1982-10-04,13.125,49.375,11.153814,4.1114197,1063.2793,0.27140638,0.45
1982-10-05,13.125,49.375,12.950516,5.794525,1440.1809,0.26740912,0.46
1982-10-06,13.125,49.375,8.546478,5.7058105,1342.1437,0.2755695,0.47
1982-10-07,13.125,49.375,6.428944,4.992035,1005.5833,0.34714028,0.48
1982-10-08,13.125,49.375,3.9108737,7.599945,906.73724,0.33716562,0.49
1982-10-09,13.125,49.375,8.702711,5.324402,802.0339,0.32642362,0.5
1982-10-10,13.125,49.375,7.230655,4.462555,904.09106,0.32241124,0.51
1982-10-11,13.125,49.375,7.234223,5.9498596,605.3637,0.33165297,0.52
1982-10-12,13.125,49.375,7.279992,6.551239,789.3106,0.35106933,0.53
1982-10-13,13.125,49.375,4.2066646,6.633026,1063.1388,0.34668058,0.54
1982-10-14,13.125,49.375,9.733932,8.49762,1212.8528,0.3542219,0.55
1982-10-15,13.125,49.375,6.2614417,6.039856,872.87476,0.3438255,0.56
1982-10-16,13.125,49.375,6.1986523,0.5654907,883.6231,0.33507615,0.55625
1982-10-17,13.125,49.375,7.0836945,0.83273315,719.53613,0.33052552,0.5525
1982-10-18,13.125,49.375,9.794148,4.932831,1077.882,0.33069617,0.54875
1982-10-19,13.125,49.375,4.7504435,4.9952087,652.63074,0.3290325,0.545
1982-10-20,13.125,49.375,5.7466516,6.8458557,933.22656,0.33712676,0.54125
1982-10-21,13.125,49.375,6.496841,5.1688232,830.45514,0.32655108,0.5375
1982-10-22,13.125,49.375,8.556685,3.9682007,857.12384,0.3209216,0.53375
1982-10-23,13.125,49.375,6.8308897,3.9281921,1125.7408,0.31663924,0.53
1982-10-24,13.125,49.375,5.0246778,9.000977,1049.7227,0.3133208,0.52625
1982-10-25,13.125,49.375,1.6602685,6.2576904,624.3165,0.31394765,0.5225
1982-10-26,13.125,49.375,4.8693175,3.5549011,807.1577,0.3129045,0.51875
1982-10-27,13.125,49.375,6.149148,2.022766,713.66284,0.30991504,0.515
1982-10-28,13.125,49.375,5.14658,3.4587097,564.2484,0.3073778,0.51125
1982-10-29,13.125,49.375,5.3845673,5.564575,649.44684,0.3058092,0.5075
1982-10-30,13.125,49.375,7.242957,3.4571838,747.29865,0.30372322,0.50375
1982-10-31,13.125,49.375,6.739069,2.7592773,572.82104,0.30284,0.5
1982-11-01,13.125,49.375,7.1299143,3.3364868,739.8089,0.3010649,0.50333333
1982-11-02,13.125,49.375,7.944601,3.7662048,1017.8128,0.29919156,0.50666666
1982-11-03,13.125,49.375,4.602632,3.032837,596.8096,0.30462697,0.51
1982-11-04,13.125,49.375,4.7391157,4.587097,392.2923,0.3082088,0.5133333
1982-11-05,13.125,49.375,3.1653352,0.52874756,534.38495,0.31642094,0.51666665
1982-11-06,13.125,49.375,7.933324,-2.8840637,678.4768,0.31307516,0.52
1982-11-07,13.125,49.375,8.06772,-1.8439941,843.5537,0.3068856,0.5233333
1982-11-08,13.125,49.375,6.0589633,-0.853302,932.0358,0.3024808,0.5266667
1982-11-09,13.125,49.375,4.179613,3.1446533,882.7645,0.30002627,0.53000003
1982-11-10,13.125,49.375,4.844226,5.038269,879.83453,0.29961762,0.53333336
1982-11-11,13.125,49.375,5.0687275,2.9769897,769.8858,0.29763165,0.5366667
1982-11-12,13.125,49.375,3.7995987,0.35131836,511.1002,0.29571873,0.54
1982-11-13,13.125,49.375,1.9396722,4.2458496,467.8977,0.33940864,0.54333335
1982-11-14,13.125,49.375,4.733635,0.61972046,588.0148,0.35946125,0.5466667
1982-11-15,13.125,49.375,4.8595576,-1.6234436,433.59113,0.34081194,0.55
1982-11-16,13.125,49.375,2.537799,-1.930481,272.0842,0.3342618,0.544
1982-11-17,13.125,49.375,3.9100654,0.46047974,497.06683,0.33336255,0.538
1982-11-18,13.125,49.375,1.4452615,1.9456787,261.8788,0.34766406,0.532
1982-11-19,13.125,49.375,1.513135,4.627228,651.5296,0.3607597,0.526
1982-11-20,13.125,49.375,3.6866221,1.8746948,787.94086,0.35599995,0.52
1982-11-21,13.125,49.375,4.323893,-0.58288574,581.0873,0.3469399,0.514
1982-11-22,13.125,49.375,5.629343,-0.11212158,826.89935,0.33856502,0.508
