,longitude,latitude,ssrd,t2mmin,e,tp,vpd,sSWC,FPAR
1982-09-03,11.625,50.875,19.025503,7.4706726,-1.2348615,0.0,1755.8279,0.21878126,0.546
1982-09-04,11.625,50.875,17.167553,9.37619,-1.0853921,0.0,2540.3726,0.19911341,0.5413333
1982-09-05,11.625,50.875,17.240763,11.380951,-0.9183448,0.08741616,2688.8735,0.18479116,0.53666663
1982-09-06,11.625,50.875,12.988488,17.517853,-1.1656383,0.7408442,2547.6528,0.18639179,0.532
1982-09-07,11.625,50.875,9.459344,13.940155,-0.6650997,0.22984247,1939.2235,0.18895128,0.5273333
1982-09-08,11.625,50.875,11.940879,13.259735,-0.6606295,0.1486479,2149.854,0.18447703,0.52266663
1982-09-09,11.625,50.875,10.143205,11.150055,-0.5041171,0.07970713,1906.9159,0.18024686,0.518
1982-09-10,11.625,50.875,17.238792,10.41272,-0.7463938,0.0,2309.6816,0.17303883,0.5133333
1982-09-11,11.625,50.875,14.158932,11.620911,-0.6374495,0.0027386348,2699.5168,0.16161351,0.50866663
1982-09-12,11.625,50.875,8.184242,14.263611,-0.6107141,0.085694365,1980.8435,0.15627329,0.504
1982-09-13,11.625,50.875,14.987469,12.228851,-0.52082545,0.0028561284,2285.2117,0.15423384,0.49933332
1982-09-14,11.625,50.875,12.73624,11.408234,-0.43178204,0.0053216415,2080.0825,0.14996777,0.49466664
1982-09-15,11.625,50.875,16.093851,12.046204,-0.5454636,0.0,2711.794,0.14426163,0.48999998
1982-09-16,11.625,50.875,16.098267,11.498291,-0.5675903,0.0,2862.26,0.13630992,0.48866665
1982-09-17,11.625,50.875,15.417932,14.060272,-0.527461,0.0,2743.6143,0.12957072,0.48733333
1982-09-18,11.625,50.875,15.735566,12.096069,-0.4995524,0.0,2698.1328,0.124469504,0.48599997
1982-09-19,11.625,50.875,13.522223,14.196472,-0.45202848,0.11632375,2737.4841,0.12054681,0.48466665
1982-09-20,11.625,50.875,14.255768,12.885193,-0.5158725,0.2754729,2915.506,0.118542396,0.48333332
