,longitude,latitude,ssrd,t2mmin,vpd,FPAR
1982-09-27,11.625,50.875,10.080796,9.629456,1428.2062,0.474
1982-09-28,11.625,50.875,10.048509,9.3489685,1386.6671,0.47266665
1982-09-29,11.625,50.875,13.331557,8.012787,1493.0297,0.47133332
1982-09-30,11.625,50.875,12.542086,9.66864,1623.5538,0.47
1982-10-01,11.625,50.875,7.7349315,12.811279,1176.1045,0.46866667
1982-10-02,11.625,50.875,5.8714833,11.383087,1225.5175,0.46733332
1982-10-03,11.625,50.875,12.035229,9.132111,1268.9086,0.466
1982-10-04,11.625,50.875,12.019366,5.751251,1182.1146,0.46466666
1982-10-05,11.625,50.875,11.22951,6.3592224,1233.1924,0.46333334
1982-10-06,11.625,50.875,7.4365225,9.453461,1082.913,0.46199998
1982-10-07,11.625,50.875,1.3267641,5.082794,510.30267,0.46066666
1982-10-08,11.625,50.875,4.082254,9.2934265,786.6659,0.45933333
1982-10-09,11.625,50.875,6.166235,8.403442,906.0925,0.458
1982-10-10,11.625,50.875,6.391163,8.105255,753.26294,0.45666665
1982-10-11,11.625,50.875,5.9614277,8.108246,833.07263,0.45533332
1982-10-12,11.625,50.875,4.0372534,8.436768,673.8031,0.454
1982-10-13,11.625,50.875,1.5450964,8.103119,562.43713,0.45266667
1982-10-14,11.625,50.875,9.618248,8.95871,1090.3695,0.4513333
1982-10-15,11.625,50.875,6.719856,8.265503,992.818,0.45
1982-10-16,11.625,50.875,6.168805,3.4217224,877.9824,0.451875
1982-10-17,11.625,50.875,4.2598176,3.711609,623.931,0.45374998
1982-10-18,11.625,50.875,8.367938,6.180786,776.5245,0.455625
1982-10-19,11.625,50.875,5.692885,8.204376,652.76917,0.45749998
1982-10-20,11.625,50.875,8.182471,6.9168396,851.07104,0.459375
1982-10-21,11.625,50.875,9.152147,8.072693,843.4721,0.46124998
1982-10-22,11.625,50.875,9.195367,6.7266235,796.90796,0.463125
1982-10-23,11.625,50.875,5.271682,5.832672,726.55023,0.46499997
1982-10-24,11.625,50.875,1.1887875,6.1196594,528.3095,0.466875
1982-10-25,11.625,50.875,5.9385033,3.1769714,487.9783,0.46875
1982-10-26,11.625,50.875,6.566825,1.921051,706.6914,0.47062498
1982-10-27,11.625,50.875,2.413646,7.1304016,778.66907,0.4725
1982-10-28,11.625,50.875,3.399173,7.597412,562.81464,0.47437498
1982-10-29,11.625,50.875,5.1390705,5.347351,499.72415,0.47625
1982-10-30,11.625,50.875,6.0968456,4.6737976,505.70184,0.47812498
1982-10-31,11.625,50.875,6.891162,3.5697021,545.0845,0.48
1982-11-01,11.625,50.875,5.630148,3.7108765,771.4736,0.47533333
1982-11-02,11.625,50.875,6.974345,8.481018,885.8631,0.47066665
1982-11-03,11.625,50.875,2.285103,6.822357,553.6101,0.466
